Fecha,ClaveEstado,Estado,NivelSemaforo
29/09/2021,3,Baja California Sur,1
30/09/2021,3,Baja California Sur,1
01/10/2021,3,Baja California Sur,1
02/10/2021,3,Baja California Sur,1
03/10/2021,3,Baja California Sur,1
20/09/2021,4,Campeche,2
21/09/2021,4,Campeche,2
22/09/2021,4,Campeche,2
23/09/2021,4,Campeche,2
24/09/2021,4,Campeche,2
25/09/2021,4,Campeche,2
26/09/2021,4,Campeche,2
27/09/2021,4,Campeche,2
28/09/2021,4,Campeche,2
29/09/2021,4,Campeche,2
30/09/2021,4,Campeche,2
01/10/2021,4,Campeche,2
02/10/2021,4,Campeche,2
03/10/2021,4,Campeche,2
20/09/2021,5,Chiapas,1
21/09/2021,5,Chiapas,1
22/09/2021,5,Chiapas,1
23/09/2021,5,Chiapas,1
24/09/2021,5,Chiapas,1
25/09/2021,5,Chiapas,1
26/09/2021,5,Chiapas,1
27/09/2021,5,Chiapas,1
28/09/2021,5,Chiapas,1
29/09/2021,5,Chiapas,1
30/09/2021,5,Chiapas,1
01/10/2021,5,Chiapas,1
02/10/2021,5,Chiapas,1
03/10/2021,5,Chiapas,1
20/09/2021,6,Chihuahua,1
21/09/2021,6,Chihuahua,1
22/09/2021,6,Chihuahua,1
23/09/2021,6,Chihuahua,1
24/09/2021,6,Chihuahua,1
25/09/2021,6,Chihuahua,1
26/09/2021,6,Chihuahua,1
27/09/2021,6,Chihuahua,1
28/09/2021,6,Chihuahua,1
29/09/2021,6,Chihuahua,1
30/09/2021,6,Chihuahua,1
01/10/2021,6,Chihuahua,1
02/10/2021,6,Chihuahua,1
03/10/2021,6,Chihuahua,1
20/09/2021,7,CDMX,2
21/09/2021,7,CDMX,2
22/09/2021,7,CDMX,2
23/09/2021,7,CDMX,2
24/09/2021,7,CDMX,2
25/09/2021,7,CDMX,2
26/09/2021,7,CDMX,2
27/09/2021,7,CDMX,2
28/09/2021,7,CDMX,2
29/09/2021,7,CDMX,2
30/09/2021,7,CDMX,2
01/10/2021,7,CDMX,2
02/10/2021,7,CDMX,2
03/10/2021,7,CDMX,2
20/09/2021,8,Coahuila,2
21/09/2021,8,Coahuila,2
22/09/2021,8,Coahuila,2
23/09/2021,8,Coahuila,2
24/09/2021,8,Coahuila,2
25/09/2021,8,Coahuila,2
26/09/2021,8,Coahuila,2
27/09/2021,8,Coahuila,2
28/09/2021,8,Coahuila,2
29/09/2021,8,Coahuila,2
30/09/2021,8,Coahuila,2
01/10/2021,8,Coahuila,2
02/10/2021,8,Coahuila,2
03/10/2021,8,Coahuila,2
20/09/2021,9,Colima,3
21/09/2021,9,Colima,3
22/09/2021,9,Colima,3
23/09/2021,9,Colima,3
24/09/2021,9,Colima,3
25/09/2021,9,Colima,3
26/09/2021,9,Colima,3
27/09/2021,9,Colima,3
28/09/2021,9,Colima,3
29/09/2021,9,Colima,3
30/09/2021,9,Colima,3
01/10/2021,9,Colima,3
02/10/2021,9,Colima,3
03/10/2021,9,Colima,3
20/09/2021,10,Durango,2
21/09/2021,10,Durango,2
22/09/2021,10,Durango,2
23/09/2021,10,Durango,2
24/09/2021,10,Durango,2
25/09/2021,10,Durango,2
26/09/2021,10,Durango,2
27/09/2021,10,Durango,2
28/09/2021,10,Durango,2
29/09/2021,10,Durango,2
30/09/2021,10,Durango,2
01/10/2021,10,Durango,2
02/10/2021,10,Durango,2
03/10/2021,10,Durango,2
20/09/2021,11,Guanajuato,2
21/09/2021,11,Guanajuato,2
22/09/2021,11,Guanajuato,2
23/09/2021,11,Guanajuato,2
24/09/2021,11,Guanajuato,2
